N;Fecha;0;1;2;3;4
4;16/04/2018 16:00;22.0;219.836.155.106;220.486.778.846;248.100.871.731;244.962.080.173
5;16/04/2018 17:00;219.836.155.106;220.486.778.846;248.100.871.731;244.962.080.173;24.511.375.948
6;16/04/2018 18:00;220.486.778.846;248.100.871.731;244.962.080.173;24.511.375.948;245.517.615.176
7;16/04/2018 19:00;248.100.871.731;244.962.080.173;24.511.375.948;245.517.615.176;247.576.086.957
8;16/04/2018 20:00;244.962.080.173;24.511.375.948;245.517.615.176;247.576.086.957;247.239.498.091
9;16/04/2018 21:00;24.511.375.948;245.517.615.176;247.576.086.957;247.239.498.091;247.650.933.041
10;16/04/2018 22:00;245.517.615.176;247.576.086.957;247.239.498.091;247.650.933.041;246.641.053.787
11;16/04/2018 23:00;247.576.086.957;247.239.498.091;247.650.933.041;246.641.053.787;24.757.127.193
12;17/04/2018 0:00;247.239.498.091;247.650.933.041;246.641.053.787;24.757.127.193;246.197.718.631
13;17/04/2018 1:00;247.650.933.041;246.641.053.787;24.757.127.193;246.197.718.631;246.933.115.824
14;17/04/2018 2:00;246.641.053.787;24.757.127.193;246.197.718.631;246.933.115.824;249.253.405.995
15;17/04/2018 3:00;24.757.127.193;246.197.718.631;246.933.115.824;249.253.405.995;249.296.619.411
16;17/04/2018 4:00;246.197.718.631;246.933.115.824;249.253.405.995;249.296.619.411;248.431.372.549
17;17/04/2018 5:00;246.933.115.824;249.253.405.995;249.296.619.411;248.431.372.549;24.973.827.699
18;17/04/2018 6:00;249.253.405.995;249.296.619.411;248.431.372.549;24.973.827.699;247.442.872.688
19;17/04/2018 7:00;249.296.619.411;248.431.372.549;24.973.827.699;247.442.872.688;247.361.262.242
20;17/04/2018 8:00;248.431.372.549;24.973.827.699;247.442.872.688;247.361.262.242;248.111.050.626
21;17/04/2018 9:00;24.973.827.699;247.442.872.688;247.361.262.242;248.111.050.626;248.608.837.971
22;17/04/2018 10:00;247.442.872.688;247.361.262.242;248.111.050.626;248.608.837.971;246.303.630.363
23;17/04/2018 11:00;247.361.262.242;248.111.050.626;248.608.837.971;246.303.630.363;25.0
