NUM;Fecha;0;1;2;3;4
4;2018-04-16 13:30:00;22.0;22.0;21.966923925;22.0;22.1072847682
5;2018-04-16 15:00:00;22.0;21.966923925;22.0;22.1072847682;24.9326500732
6;2018-04-16 15:30:00;21.966923925;22.0;22.1072847682;24.9326500732;24.7193932828
7;2018-04-16 16:00:00;22.0;22.1072847682;24.9326500732;24.7193932828;24.4886486486
8;2018-04-16 16:30:00;22.1072847682;24.9326500732;24.7193932828;24.4886486486;24.5038002172
9;2018-04-16 17:00:00;24.9326500732;24.7193932828;24.4886486486;24.5038002172;24.4686825054
10;2018-04-16 17:30:00;24.7193932828;24.4886486486;24.5038002172;24.4686825054;24.5543478261
11;2018-04-16 18:00:00;24.4886486486;24.5038002172;24.4686825054;24.5543478261;24.5876623377
12;2018-04-16 18:30:00;24.5038002172;24.4686825054;24.5543478261;24.5876623377;24.5157437568
13;2018-04-16 19:00:00;24.4686825054;24.5543478261;24.5876623377;24.5157437568;24.6208017335
14;2018-04-16 19:30:00;24.5543478261;24.5876623377;24.5157437568;24.6208017335;24.8953107961
15;2018-04-16 20:00:00;24.5876623377;24.5157437568;24.6208017335;24.8953107961;24.6652221018
16;2018-04-16 20:30:00;24.5157437568;24.6208017335;24.8953107961;24.6652221018;24.7835164835
17;2018-04-16 21:00:00;24.6208017335;24.8953107961;24.6652221018;24.7835164835;24.8291347207
18;2018-04-16 21:30:00;24.8953107961;24.6652221018;24.7835164835;24.8291347207;24.700770077
19;2018-04-16 22:00:00;24.6652221018;24.7835164835;24.8291347207;24.700770077;24.6801752464
20;2018-04-16 22:30:00;24.7835164835;24.8291347207;24.700770077;24.6801752464;24.6479647965
21;2018-04-16 23:00:00;24.8291347207;24.700770077;24.6801752464;24.6479647965;24.7592997812
22;2018-04-16 23:30:00;24.700770077;24.6801752464;24.6479647965;24.7592997812;24.7549450549
23;2018-04-17 00:00:00;24.6801752464;24.6479647965;24.7592997812;24.7549450549;24.6876355748
24;2018-04-17 00:30:00;24.6479647965;24.7592997812;24.7549450549;24.6876355748;24.5516866159
25;2018-04-17 01:00:00;24.7592997812;24.7549450549;24.6876355748;24.5516866159;24.4913419913
26;2018-04-17 01:30:00;24.7549450549;24.6876355748;24.5516866159;24.4913419913;24.8972677596
27;2018-04-17 02:00:00;24.6876355748;24.5516866159;24.4913419913;24.8972677596;24.9076086957
28;2018-04-17 02:30:00;24.5516866159;24.4913419913;24.8972677596;24.9076086957;24.9431693989
29;2018-04-17 03:00:00;24.4913419913;24.8972677596;24.9076086957;24.9431693989;24.9195652174
30;2018-04-17 03:30:00;24.8972677596;24.9076086957;24.9431693989;24.9195652174;24.9398249453
31;2018-04-17 04:00:00;24.9076086957;24.9431693989;24.9195652174;24.9398249453;24.8425624321
32;2018-04-17 04:30:00;24.9431693989;24.9195652174;24.9398249453;24.8425624321;24.843715847
33;2018-04-17 05:00:00;24.9195652174;24.9398249453;24.8425624321;24.843715847;24.947826087
34;2018-04-17 05:30:00;24.9398249453;24.8425624321;24.843715847;24.947826087;25.0
35;2018-04-17 06:00:00;24.8425624321;24.843715847;24.947826087;25.0;24.8913043478
36;2018-04-17 06:30:00;24.843715847;24.947826087;25.0;24.8913043478;24.5969498911
37;2018-04-17 07:00:00;24.947826087;25.0;24.8913043478;24.5969498911;24.5861321777
38;2018-04-17 07:30:00;25.0;24.8913043478;24.5969498911;24.5861321777;24.887431694
39;2018-04-17 08:00:00;24.8913043478;24.5969498911;24.5861321777;24.887431694;24.9413043478
40;2018-04-17 08:30:00;24.5969498911;24.5861321777;24.887431694;24.9413043478;24.6804798255
41;2018-04-17 09:00:00;24.5861321777;24.887431694;24.9413043478;24.6804798255;24.8411316649
42;2018-04-17 09:30:00;24.887431694;24.9413043478;24.6804798255;24.8411316649;24.8807439825
43;2018-04-17 10:00:00;24.9413043478;24.6804798255;24.8411316649;24.8807439825;24.6692307692
44;2018-04-17 10:30:00;24.6804798255;24.8411316649;24.8807439825;24.6692307692;24.5914096916
45;2018-04-17 11:00:00;24.8411316649;24.8807439825;24.6692307692;24.5914096916;25.0
46;2018-04-17 11:30:00;24.8807439825;24.6692307692;24.5914096916;25.0;25.0
47;2018-04-17 12:00:00;24.6692307692;24.5914096916;25.0;25.0;25.0
48;2018-04-17 12:30:00;24.5914096916;25.0;25.0;25.0;25.0
49;2018-04-17 13:00:00;25.0;25.0;25.0;25.0;25.0
50;2018-04-17 13:30:00;25.0;25.0;25.0;25.0;25.0
51;2018-04-17 14:00:00;25.0;25.0;25.0;25.0;25.0
52;2018-04-17 14:30:00;25.0;25.0;25.0;25.0;25.0
53;2018-04-18 08:30:00;25.0;25.0;25.0;25.0;22.9727011494
54;2018-04-18 09:00:00;25.0;25.0;25.0;22.9727011494;23.0
55;2018-04-18 09:30:00;25.0;25.0;22.9727011494;23.0;23.0
56;2018-04-18 10:00:00;25.0;22.9727011494;23.0;23.0;23.0
57;2018-04-18 10:30:00;22.9727011494;23.0;23.0;23.0;23.0
58;2018-04-18 11:00:00;23.0;23.0;23.0;23.0;23.0
59;2018-04-18 11:30:00;23.0;23.0;23.0;23.0;23.0
60;2018-04-18 12:00:00;23.0;23.0;23.0;23.0;23.0
61;2018-04-18 12:30:00;23.0;23.0;23.0;23.0;22.9933993399
62;2018-04-18 13:00:00;23.0;23.0;23.0;22.9933993399;22.9879253568
63;2018-04-18 13:30:00;23.0;23.0;22.9933993399;22.9879253568;23.0
64;2018-04-18 14:00:00;23.0;22.9933993399;22.9879253568;23.0;23.0
65;2018-04-18 14:30:00;22.9933993399;22.9879253568;23.0;23.0;23.0
66;2018-04-18 15:00:00;22.9879253568;23.0;23.0;23.0;23.0
67;2018-04-18 15:30:00;23.0;23.0;23.0;23.0;23.0
68;2018-04-18 16:00:00;23.0;23.0;23.0;23.0;23.0
69;2018-04-18 16:30:00;23.0;23.0;23.0;23.0;23.0
70;2018-04-18 17:00:00;23.0;23.0;23.0;23.0;23.0
71;2018-04-18 17:30:00;23.0;23.0;23.0;23.0;23.0
72;2018-04-18 18:00:00;23.0;23.0;23.0;23.0;23.0
73;2018-04-18 18:30:00;23.0;23.0;23.0;23.0;23.0
74;2018-04-18 19:00:00;23.0;23.0;23.0;23.0;23.0
75;2018-04-18 19:30:00;23.0;23.0;23.0;23.0;23.0
76;2018-04-18 20:00:00;23.0;23.0;23.0;23.0;23.0
77;2018-04-18 20:30:00;23.0;23.0;23.0;23.0;23.0
78;2018-04-18 21:00:00;23.0;23.0;23.0;23.0;23.0
79;2018-04-18 21:30:00;23.0;23.0;23.0;23.0;23.0
80;2018-04-18 22:00:00;23.0;23.0;23.0;23.0;23.0
81;2018-04-18 22:30:00;23.0;23.0;23.0;23.0;23.0
82;2018-04-18 23:00:00;23.0;23.0;23.0;23.0;23.0
83;2018-04-18 23:30:00;23.0;23.0;23.0;23.0;23.0
84;2018-04-19 00:00:00;23.0;23.0;23.0;23.0;23.0
85;2018-04-19 00:30:00;23.0;23.0;23.0;23.0;23.0
86;2018-04-19 01:00:00;23.0;23.0;23.0;23.0;23.0
87;2018-04-19 01:30:00;23.0;23.0;23.0;23.0;23.0
88;2018-04-19 02:00:00;23.0;23.0;23.0;23.0;23.0
89;2018-04-19 02:30:00;23.0;23.0;23.0;23.0;23.0
90;2018-04-19 03:00:00;23.0;23.0;23.0;23.0;23.0
91;2018-04-19 03:30:00;23.0;23.0;23.0;23.0;23.0
92;2018-04-19 04:00:00;23.0;23.0;23.0;23.0;23.0
93;2018-04-19 04:30:00;23.0;23.0;23.0;23.0;23.0
94;2018-04-19 05:00:00;23.0;23.0;23.0;23.0;23.0
95;2018-04-19 05:30:00;23.0;23.0;23.0;23.0;23.0
96;2018-04-19 06:00:00;23.0;23.0;23.0;23.0;23.0
97;2018-04-19 06:30:00;23.0;23.0;23.0;23.0;23.0
98;2018-04-19 07:00:00;23.0;23.0;23.0;23.0;23.0
99;2018-04-19 07:30:00;23.0;23.0;23.0;23.0;23.0
100;2018-04-19 08:00:00;23.0;23.0;23.0;23.0;23.0
101;2018-04-19 08:30:00;23.0;23.0;23.0;23.0;23.0
102;2018-04-19 09:00:00;23.0;23.0;23.0;23.0;23.0
103;2018-04-19 09:30:00;23.0;23.0;23.0;23.0;23.0
104;2018-04-19 10:00:00;23.0;23.0;23.0;23.0;23.0
105;2018-04-19 10:30:00;23.0;23.0;23.0;23.0;23.0
